word,polarity,weight
baba,0,0
pesara,0,0
tentera,0,0
kontraktor,0,0
hebatkannegaraku,0.8,1
makpah,0,0
shafiq_amin96,0,0
nano_napy,0,0
faisalmohd77,0,0
john_saing,0,0
keluar,0,0
bermakna,0,0
lokap,-0.2,1
tengkurajaalam1,0,0
least,-0.3,1
sakit,0,0
waktu,0,0
beranak,0,0
kaya,0,0
k,0,0
hallucinate,0,0
own,0.6,1
peril,0,0
turning,0,0
an,0,0
anti-climax,0,0
claim,0,0
pro-najib,0.8,1
blog,0,0
mahathir.love,-0.5,1
lem,0,0
rephrase,0,0
statement,0,0
wasted,-0.2,1
no,0,0
time,0,0
break,0,0
ec,0,0
law,0,0
announcing,0,0
cash,0,0
handout,0,0
which,0,0
okay,0.5,0.5
bgi,0,0
second,0,0
chance,0,0
mengaku,0,0
tantamount,0,0
democratisation,0.4,1
education,0,0
provides,0,0
access,0,0
people,0,0
jenis,0,0
baik,0.5,1
year,0,0
tukar,0,0
try,0,0
memuaskan,0,0
limlipeng,0,0
official,0,0
'm,0,0
parliamentary,0,0
candidate,0,0
kepong,0,0
regime,0,0
kitamestimenang,0,0
jebat_derhakar,0,0
tanggung,0,0
hutang,0,0
tahun.byr,0,0
tol,0,0
tahun.najib,0,0
murid,0,0
mahathir.kau,0,0
ing,0,0
sering,0,0
kawasan,0,0
takikhlas-najib,0,0
farhad,0,0
menentang,-0.3,1
jodoh,0,0
lyric,0.25,1
malaysiakini,0,0
best,1,1
gelak,0,0
penyangak,0,0
wait,0,0
minute,0,0
tian,0,0
chua,0,0
dq,0,0
because,0,0
he,0,0
case,0,0
court,0,0
settled,0,0
name,0,0
retweeted,0,0
mohd,0,0
nsejak,0,0
pembubaran,0,0
pelancaran,0,0
manifestobn,0.1,1
telah,0,0
menj,0,0
kongsi,0,0
video,0,0
sekitar,0,0
bagi,0,0
p.085,0,0
ndulu,0,0
kutuk,0,0
anwar,-2,1
anwar ibrahim,-2,1
dahsyat,-0.8,1
sebut,0,0
singhamiyer,0,0
meant,0,0
believe,0,0
romba,0,0
nallavu,0,0
singgah,0,0
lawatan,0,0
mengejut,0,0
bilik,0,0
gerakan,0,0
pdm,0,0
pasir,0,0
panjan,0,0
pls,0,0
thanking,0,0
c,0,0
balala,0,0
tunajibu,0,0
taking,0,0
swift,0,0
action,0.1,1
illegal,-0.5,1
development,0,0
hellsgate,0,0
nsekian,0,0
kit siang,-2,0
berkuasa,0,0
hadapk,0,0
over,0,0
ever,0,0
question,0,0
paid,0,0
supple,0,0
ntinjau,0,0
operasi,0,0
dun,0,0
bebar,0,0
peramu,0,0
jaya,0,0
tadi,0,0
te,0,0
npembangkang,-2,1
utamakan,0,0
perkhidmatan,0,0
pilih,0,0
leaked,0,0
kpmg,0,0
report,0,0
ignored,0,0
serious,-0.333333333,1
warning,-0.2,1
pushed,0,0
through,0,0
purchase,0,0
pal,0,0
plantation,0,0
nrm200,0,0
sebulan,0,0
selama,0,0
bulan,0,0
prihatinnya,0,0
barisan,0,0
barisan nasional,0,0
nterima,0,0
kpd,0,0
anggota-anggota,0,0
polis,0,0
rela,0,0
pegawai,0,0
bertu,0,0
sell,0,0
langkawi,0,0
pay,0,0
debt,0,0
mahathirread,0,0
full,0.35,0.55
malaysiadecides,0,0
zhangjing,0,0
than,0,0
dato,0,0
negaraku.1,0,0
kewangangan,0,0
terbesar,0,0
kite,0,0
mesti,0,0
ade,0,0
waris2,0,0
kenal,0,0
langsung,0,0
sedangkan,0,0
diorg,0,0
hubungan,0,0
kluarga,0,0
fuhh,0,0
jen,0,0
fuziah99,0,0
dunia2,0,0
read,0,0
yab,0,0
interview,0,0
relationship,0,0
china,0,0
united,0,0
state,0,0
adminhtt,0,0
juga,0,0
p085,0,0
isteri,0,0
datin,0,0
diharap,0,0
macai2,0,0
faham,0,0
apa,0,0
nyatakan,0,0
betternation3,0,0
va_dig,0,0
bangang,0,0
1rmfs,0,0
kantoi,0,0
sekalian,0,0
caretaker,0,0
clear,0.1,1
violation,-0.2,1
doe,0,0
dance,0,0
ismailsabri60,0,0
kekal,0,0
secara,0,0
terhormat,0,0
dtg,0,0
pastikan,0,0
umnomalaysia,0,0
penuh,0,0
ceria,0.6,1
majlis,0,0
sambutan,0,0
gu,0,0
sedang,0,0
sebok,0,0
bercakap,0,0
nperlu,0,0
ingat,0,0
nbila,0,0
menipu,-0.6,1
mansor,0,0
hadir,0,0
pernah,0,0
mandi,0,0
wajib,0,0
asal,0,0
cukup,0,0
umur,0,0
em,0,0
randommidageman,0,0
melgohcna,0,0
seriously,-0.333333333,1
should,0,0
ashamed,-0.2,1
behavior,0,0
seems,0,0
tune,0,0
thei,0,0
quality,0,0
available,0.4,1
violating,0,0
nyehnyehnyehnyehnyeh,0,0
catch,0,0
khalidismath,0,0
vonherig03,0,0
znazre3n,0,0
ibnuwaled,0,0
lol,0.8,1
kami,0,0
bersyukur,0,0
air,0,0
wifi,0,0
ba,0,0
unfortunately,-0.5,1
teach,0,0
steal,-0.5,1
nation,0,0
wastededucation,0,0
ive,0,0
mentioned,0,0
thing,0,0
class,0,0
nobody,0,0
fook,0,0
lecturer,0,0
advmsymy,0,0
hmmm,0,0
dpt,0,0
rm500,0,0
melaka,0,0
rm300,0,0
huhu,0,0
beg,0,0
differ,0,0
school,0,0
bad,-0.7,1
shape,0,0
terrible,-1,1
may,0,0
ajak,0,0
gaduh,0,0
budak,0,0
skolah,0,0
bgaduh,0,0
pangkahlahdenganbijak,0,0
tanjooilong,0,0
kitabinasemula,0,0
oncampaigntrail,0,0
berpuluh,0,0
sesat,0,0
tetiba,0,0
cium,0,0
mulut,0,0
ngan,0,0
takut,-0.4,1
sesat/kafir,0,0
errr,0,0
antara,0,0
pemimpin,0,0
idk,0,0
man,0,0
thats,0,0
ummm,0,0
responsibility,0,0
flip-flop,0,0
educational,0.25,1
poli,0,0
giving,0,0
load,0,0
money,0,0
during,0,0
tolakpencuri,-1,1
undurnajib,-1,1
kalahkanpenipuan,-1,1
youngsyefura,0,0
ibrahimramli,0,0
permainan,0,0
kotor,-0.5,1
sentiasa,0,0
gelomba,0,0
hoi,0,0
pegi,0,0
kamu,0,0
macai,0,0
mencacaikan,0,0
diri,0,0
kikiki,0,0
sudah,0,0
ketaq,0,0
laa,0,0
tuuuuuu,0,0
questionable,-0.5,1
indoctrination,0,0
camouflaged,0,0
yes,0,0
credit,0,0
lain-lain,0,0
ind,0,0
coward,-0.2,1
always,0,0
use,0,0
any,0,0
cowardly,0,0
battle,0,0
surpr,0,0
surprise,0,0
tgok,0,0
kesian,0,0
dkat,0,0
tp,0,0
nampak,0,0
desperito,0,0
sgt,0,0
jatuhkan,0,0
ketika,0,0
ramah,0,0
mesra,0.3,1
warga,0,0
banyak,0,0
lahanat,-0.8,1
barisannasional,0,0
corruption,-0.5,1
administration,0,0
briged,0,0
wujud,0,0
wang,0,0
jugak,0,0
maa,0,0
annoying,-0.8,1
cj,0,0
wow,0.1,1
shop,0,0
r\rnon-stop,0,0
advertistment,0,0
channel,0,0
ofcoz,0,0
maigodddd,0,0
azraeimuhamad,0,0
d'sri,0,0
good,0.7,1
perlu,0,0
dipimpin,0,0
muda,0,0
max,0,0
background,0,0
belasah,0,0
bodyguard,0,0
icu,0,0
damn,0,0
salahkan,-0.2,1
lambat,-0.1,1
bawak,0,0
majubn,0,0
diam,-0.1,1
pak,0,0
malaymail,0,0
umno/bn,0,0
minister,0,0
deputy,0,0
ministe,0,0
hafiz_warr,0,0
nye,0,0
hipokrit,0,0
munafiq,0,0
rabu_rakyatakanbuangumno,0,0
tolakgst,0,0
tola,0,0
survived,0.1,1
thai,0,0
cruelty,0,0
kedah,0,0
world,0,0
war,0,0
ii,0,0
british,0,0
colonisation,-0.1,1
communist,0,0
emergency,-0.1,1
mamat,0,0
cerita,0,0
peng,0,0
diiringi,0,0
dat,0,0
nazirahidris,0,0
pkr,-2,1
lame,-0.5,1
prefer,0,0
tbh,0,0
keep,0,0
super,0.333333333,1
conflic,0,0
zunarkartunis,0,0
dubbed,0,0
mother,0,0
do-or-die,0,0
determine,0,0
destiny,0,0
ruli,0,0
hafizpakri,0,0
saladinmy,0,0
yup,0,0
land,0,0
below,0,0
wind,0,0
seeing,0,0
sabah,0,0
sh,0,0
eksklusif,0,0
tercoret,0,0
oposisi,0,0
posisi,0,0
goyah,0,0
kelakar,0,0
thank,0,0
very,0.2,1
hope,0,0
success,0.3,1
sure,0.5,1
buy,0,0
daps,0,0
tsunami,0,0
menyirap,0,0
tulah,0,0
chedet,0,0
menyesal,-0.1,1
kemudian,0,0
berguna,0,0
kabinet,0,0
sanggupkah,0,0
tiada,0,0
expose,0,0
sarawak,0,0
awal2,0,0
dh,0,0
tunjuk,0,0
penyokong,0.3,1
bebal,0,0
tahap,0,0
dewa,0,0
tanya,0,0
bukti,0,0
siasatan,0,0
jabatan,0,0
pmdont,-0.2,1
tell,0,0
chinese,0,0
kurangkan,0,0
beban,0,0
rm50,0,0
bag,0,0
saturday,0,0
'najib,0,0
trending,0,0
topic,0,0
hour,0,0
luqmanshukor,0,0
jdt,0,0
gak,0,0
etc,0,0
merakamkan,0,0
keselama,0,0
numerous,0,0
allegation,-0.4,1
cheating,-0.5,1
insecurity,-0.5,1
delegitimising,-0.5,1
electoralproces,0,0
syahredzan,0,0
amjadhusnizaim,0,0
isa,0,0
ramai,0,0
bantai,0,0
language,0,0
ad,0,0
electronic,0,0
kuala lumpur,0,0
drop,0,0
si,0,0
future,0,1
reference,0,0
course,0,0
kencang,0,0
largely,0.214285714,1
led,0,0
named,0,0
mahathir..22,0,0
service,0,0
biasis,0,0
bekas,0,0
acuannya,0,0
bezanya,0,0
merek,0,0
undilah,0,0
ontas218,0,0
wiliamwu89,0,0
munyiddin,0,0
yassin,0,0
bermasalah,0,0
jd,0,0
suci,0.3,1
bersih,0.3,1
tweet,0,0
countless,0,0
retweets,0,0
gaya,0,0
trump,0,0
xde,0,0
control,0,0
ipoh,0,0
high,0.16,1
appeal,-0.1,1
criminal,-0.4,1
conviction,-0.1,1
prison,-0.2,1
sentence,-0.2,1
berkenaan,0,0
kes,0,0
badut,0,0
naji,0,0
tarmiziabdrahim,0,0
weh,0,0
hensem,0,0
hahahah,0,0
called,0,0
random,-0.5,0.5
phone,0,0
number,0,0
pastu,0,0
beberapa,0,0
soalan,0,0
adakah,0,0
mengundi,0,0
mei,0,0
n2,0,0
par,0,0
rasa,0,0
bapak,0,0
punya,0,0
keinginan,0,0
bangun,0,0
kubur,0,0
pi,0,0
tampaq,0,0
rasanya,0,0
relex,0,0
ajer,0,0
senak,0,0
perut,0,0
napa,0,0
mattsofi,0,0
make,0,0
lupa,0,0
bawah,0,0
kadang,0,0
tergelak,0,0
puji,0.5,1
sangat,0,0
start,0,0
anything,0,0
yesterday,0,0
kakak,0,0
sedara,0,0
told,0,0
everytime,0,0
she,0,0
went,0,0
overseas,0,0
knew,0,0
dll,0,0
os,0,0
said,0,0
deserves,0.5,1
academy,0,0
award,0.3,1
actor,0,0
mighvv,0,0
fareezbai,0,0
org,0,0
suke,0,0
polisi,0,0
die,0,0
membebankan,-0.2,1
merompak,-0.5,1
duit,0,0
spt,0,0
mkini_bm,0,0
saksi,0,0
utama,0,0
hadi,0,0
yakin,0,0
pelajar,0,0
nbanyak,0,0
admin,0,0
senaraikan,0,0
sabar,0,0
gelangang,0,0
mahkamah,0,0
london.kalau,0,0
keyakinan,0.3,1
awang,0,0
j,0,0
berusaha,0.3,1
majukan,0.2,1
industri,0,0
automotif,0,0
adanya,0,0
revolusi,0,0
mobiliti,0,0
terhubung.di,0,0
sinilah,0,0
bermula,0,0
become,0,0
continue,0,0
serve,0,0
total,0,0
blame,0,0
fall,0,0
percentage,0,0
raise,0,0
national,0,0
continuesly,0,0
pangkah,0,0
ta?,0,0
focus,0,0
winning,0.5,1
pakatanharapan,-2,1
perintah,0,0
tolong,0,0
siasat,0,0
dedah,0,0
skandal2?,-0.5,1
hiduprakyat,-0.2,1
kitapilihbiru,0,0
bersamab?,0,0
sifat,0,0
tenang,0,0
dimiliki,0,0
menangani,0,0
membantu,0.3,1
usaha,0.1,1
ar?,0,0
cuplikan,0,0
opsi,0,0
eps,0,0
pesona,0,0
kursi,0,0
nomor,0,0
dua,0,0
alasan,0,0
cawapres,0,0
yunarto,0,0
wijaya,0,0
saksikan,0,0
lengkap,0,0
di?,0,0
wan,-0.2,0.15
junaidi,0,0
beri,0,0
kj,0,0
takkan,0,0
bukak,0,0
isu2,0,0
panas,0,0
pecat,0,0
bcs,0,0
dream,0,0
country,0,0
menikmati,0.1,1
jualan,0,0
bersempena,0,0
jbd,0,0
famadihatirakyat,0,0
nbos,0,0
tn50,0,0
jbd2018,0,0
jimatbelanjadapur2018,0,0
pasartani,0,0
bo,0,0
lam,0,0
tiba2,0,0
terbang,0,0
calon2,0,0
sememangnya,0,0
lady,0,0
gentleman,0,0
semuanya,0,0
penakut2,0,0
tv9,0,0
tajuk,0,0
berita,0,0
mlm,0,0
td,0,0
dimana,0,0
title,0,0
refer,0,0
inform,0,0
dibubarkan,0,0
referred,0,0
andai,0,0
confirm,0,0
bocorkan,-0.2,1
rahsia,0,0
puih,0,0
lie,0,0
gave,0,0
period,0,0
kereta,0,0
turun,0,0
kencing,0,0
biggest,0,0
2.6bil,-0.2,1
akaun,0,0
then,0,0
derma,0,0
asshole,-0.6,1
sbg,0,0
seor?,0,0
dilupakan,0,0
dimaafkan,0,0
trail,0,0
home,0,0
sunday,0,0
continuing,0,0
pemecahbelah,-0.5,1
masyarakat,0,0
diperkudakan,-0.3,1
final,0,1
yap,0,0
semoga,0,0
sedar,0,0
akn,0,0
kesilapannya,-0.3,1
begitu,0,0
perit,-0.2,1
ditanggung,0,0
prestasi,0,0
prabowo,0,0
meloloskan,0,0
jokowi,0,0
ahok,0,0
gub,0,0
dki,0,0
dn,0,0
berhasil,0.3,1
lalu,0,0
bal?,0,0
rakyatb3rsamajkw,0,0
kucing,0,0
k?,0,0
malaysiamemilih,0,0
anak2,0,0
project,0,0
wujudkan,0,0
peluang,0,0
kerja,0,0
kema?,0,0
warisan,0,0
libaran,0,0
ubah,-0.7,1
must,0,0
proud,0.8,1
tarik,0,0
redneck,0,0
mak,0,0
cik,0,0
temah,0,0
keagamaan,0,0
masing-masing,0,0
jho,-0.3,1
anassshisham,0,0
azmawiazizan,0,0
ntapi,0,0
punyai,0,0
saman,-0.3,1
terhadap,0,0
npada,0,0
ogos,0,0
mendakwa,-0.3,1
menerima,0,0
rm90,0,0
juta,0,0
pakai,0,0
blusher,0,0
