word,f(0),f(1),f(0) + f(1)
patot,0.001,0.999,1
campaign,0.999,0.001,1
tiba,0.001,0.999,1
sepanggar,0.999,0.001,1
conditions,0.001,0.999,1
if,0.999,0.001,1
n,0.999,0.001,1
pesawat,0.999,0.001,1
memang,0.999,0.001,1
take,0.001,0.999,1
battle,0.999,0.001,1
apatahlagi,0.001,0.999,1
minta,0.999,0.001,1
elok,0.001,0.999,1
guan,0.999,0.001,1
20.00118,0.001,0.999,1
omar,0.999,0.001,1
united,0.001,0.999,1
parti,0.001,0.999,1
rule,0.999,0.001,1
already,0.999,0.001,1
pro-najib,0.001,0.999,1
permainan,0.999,0.001,1
either,0.999,0.001,1
simpati,0.999,0.001,1
bukanaimantino,0.999,0.001,1
penyangak,0.999,0.001,1
free,0.001,0.999,1
maafkan,0.999,0.001,1
sebagai,0.001,0.999,1
apa-apa,0.999,0.001,1
mkabmr,0.999,0.001,1
harapan,0.999,0.001,1
kesilapan,0.999,0.001,1
on,0.999,0.001,1
kerana,0.001,0.999,1
wey,0.001,0.999,1
p0.00185,0.001,0.999,1
cover,0.999,0.001,1
khidmat,0.001,0.999,1
minggu,0.001,0.999,1
talk,0.999,0.001,1
ignored,0.999,0.001,1
hamun,0.999,0.001,1
malaysiamengundi,0.001,0.999,1
berkuasa,0.999,0.001,1
people,0.001,0.999,1
tahniah,0.001,0.999,1
hauled,0.001,0.999,1
kamu,0.999,0.001,1
bersama,0.001,0.999,1
relamalaysia,0.001,0.999,1
'float,0.001,0.999,1
sangka,0.999,0.001,1
rafiziramli,0.999,0.001,1
in,0.001,0.999,1
untuk,0.001,0.999,1
kawasan,0.001,0.999,1
petugas,0.001,0.999,1
media,0.001,0.999,1
nation,0.999,0.001,1
pakcik,0.001,0.999,1
places,0.001,0.999,1
22,0.001,0.999,1
suka,0.999,0.001,1
wajib,0.999,0.001,1
di,0.001,0.999,1
jer,0.999,0.001,1
mintak,0.001,0.999,1
seats,0.999,0.001,1
bn,0.999,0.001,1
doa,0.001,0.999,1
dikawasan,0.999,0.001,1
cabinet,0.999,0.001,1
sahaja..klu,0.999,0.001,1
forcing,0.999,0.001,1
tidak,0.001,0.999,1
tune,0.999,0.001,1
rakyat,0.001,0.999,1
ktan,0.999,0.001,1
questionable,0.999,0.001,1
ph.sbg,0.999,0.001,1
sudah,0.999,0.001,1
malaysias,0.999,0.001,1
masuk,0.001,0.999,1
from,0.999,0.001,1
selangor,0.999,0.001,1
hebat,0.001,0.999,1
takde,0.001,0.999,1
mencacaikan,0.999,0.001,1
better,0.001,0.999,1
ge,0.001,0.999,1
dengan,0.999,0.001,1
nsekian,0.999,0.001,1
rendah,0.999,0.001,1
nomination,0.999,0.001,1
sabotaj,0.999,0.001,1
40.001,0.001,0.999,1
rupanya,0.999,0.001,1
perkhidmatan,0.001,0.999,1
pendapatan,0.001,0.999,1
educational,0.999,0.001,1
utamakan,0.001,0.999,1
kita,0.999,0.001,1
harap,0.001,0.999,1
anti-climax,0.001,0.999,1
kantoi,0.999,0.001,1
push,0.001,0.999,1
terrible,0.999,0.001,1
takut,0.999,0.001,1
haha,0.999,0.001,1
ttp,0.999,0.001,1
juga,0.001,0.999,1
s,0.001,0.999,1
was,0.999,0.001,1
balala,0.001,0.999,1
ye,0.999,0.001,1
bangga.,0.001,0.999,1
thus,0.001,0.999,1
does,0.999,0.001,1
ic,0.999,0.001,1
present,0.001,0.999,1
sembilan,0.001,0.999,1
bermakna,0.999,0.001,1
too,0.001,0.999,1
operasi,0.001,0.999,1
k,0.999,0.001,1
zhangjing,0.999,0.001,1
dia,0.999,0.001,1
sblm,0.999,0.001,1
ekonomi,0.001,0.999,1
korang,0.999,0.001,1
rm30.0010.001,0.999,0.001,1
bua,0.999,0.001,1
ever,0.999,0.001,1
kenapa,0.999,0.001,1
pelancaran,0.001,0.999,1
farahx,0.001,0.999,1
originally,0.999,0.001,1
sah,0.999,0.001,1
pekan,0.001,0.999,1
harapp,0.999,0.001,1
gu,0.001,0.999,1
arrival,0.001,0.999,1
pendidikan,0.001,0.999,1
npangkah,0.999,0.001,1
jadi,0.999,0.001,1
answer,0.001,0.999,1
regime,0.999,0.001,1
bermaruah,0.999,0.001,1
skolah,0.999,0.001,1
masterpiece,0.999,0.001,1
credit,0.999,0.001,1
rm,0.001,0.999,1
0.999,0.999,0.001,1
join,0.001,0.999,1
speaker,0.999,0.001,1
tuuuuuu,0.999,0.001,1
ma,0.999,0.001,1
during,0.999,0.001,1
peramu,0.001,0.999,1
polis,0.001,0.999,1
this,0.999,0.001,1
mr,0.001,0.999,1
flip-flops,0.999,0.001,1
day,0.999,0.001,1
smlm,0.001,0.999,1
guna,0.999,0.001,1
2,0.999,0.001,1
kelemahan,0.001,0.999,1
tari,0.999,0.001,1
dont,0.001,0.999,1
pencalonan,0.001,0.999,1
lahh,0.999,0.001,1
wee,0.999,0.001,1
keadaan,0.999,0.001,1
banya,0.999,0.001,1
design,0.999,0.001,1
account,0.999,0.001,1
dan,0.999,0.001,1
h20.001,0.001,0.999,1
co,0.999,0.001,1
bgi,0.999,0.001,1
beranak,0.999,0.001,1
sebab,0.999,0.001,1
ph,0.999,0.001,1
pembubaran,0.001,0.999,1
development,0.001,0.999,1
tree,0.999,0.001,1
tips,0.001,0.999,1
hidup,0.999,0.001,1
graduan,0.999,0.001,1
kami,0.999,0.001,1
bangga,0.001,0.999,1
memaafkan,0.999,0.001,1
out,0.001,0.999,1
means,0.999,0.001,1
hina,0.999,0.001,1
court,0.999,0.001,1
nyehnyehnyehnyehnyeh,0.999,0.001,1
my,0.999,0.001,1
trun,0.999,0.001,1
many,0.001,0.999,1
blast,0.999,0.001,1
pe,0.999,0.001,1
thing,0.999,0.001,1
sini,0.999,0.001,1
thinks,0.999,0.001,1
bilik,0.001,0.999,1
thei,0.999,0.001,1
sekolah,0.999,0.001,1
steal,0.999,0.001,1
umur,0.999,0.001,1
news,0.999,0.001,1
syedsaddiq,0.001,0.999,1
kyellz,0.999,0.001,1
mampu,0.001,0.999,1
due,0.999,0.001,1
nasional,0.001,0.999,1
john_saing,0.999,0.001,1
berpuluh,0.999,0.001,1
cium,0.999,0.001,1
2sayornot2say,0.999,0.001,1
shape,0.999,0.001,1
case,0.999,0.001,1
change,0.001,0.999,1
wasted,0.999,0.001,1
yang,0.001,0.999,1
modal,0.999,0.001,1
kewangangan,0.999,0.001,1
dahsyat,0.001,0.999,1
diharap,0.999,0.001,1
lepas,0.999,0.001,1
chants,0.999,0.001,1
tun.dr,0.001,0.999,1
sesat,0.999,0.001,1
supaya,0.001,0.999,1
give,0.999,0.001,1
u,0.001,0.999,1
settled,0.999,0.001,1
pushed,0.999,0.001,1
our,0.001,0.999,1
satu,0.999,0.001,1
tops,0.999,0.001,1
promising,0.999,0.001,1
outside,0.001,0.999,1
pd,0.999,0.001,1
look,0.999,0.001,1
second,0.999,0.001,1
petrol,0.001,0.999,1
ialah,0.999,0.001,1
datang,0.001,0.999,1
licik,0.001,0.999,1
grandmothers,0.999,0.001,1
khalidismath,0.999,0.001,1
sampai,0.999,0.001,1
va_dig,0.999,0.001,1
nallavu,0.999,0.001,1
ds,0.999,0.001,1
dpt,0.999,0.001,1
government,0.999,0.001,1
first,0.001,0.999,1
kelem,0.001,0.999,1
betul,0.999,0.001,1
gelak,0.999,0.001,1
log,0.001,0.999,1
failed,0.001,0.999,1
islam,0.001,0.999,1
it,0.999,0.001,1
person,0.001,0.999,1
nanti,0.999,0.001,1
hadir,0.001,0.999,1
luar,0.001,0.999,1
malay,0.999,0.001,1
wants,0.999,0.001,1
leaves,0.999,0.001,1
menganggur,0.999,0.001,1
n't,0.001,0.999,1
semua,0.001,0.999,1
hi,0.999,0.001,1
changes,0.001,0.999,1
sekali,0.999,0.001,1
democratisation,0.001,0.999,1
kicks,0.999,0.001,1
need,0.001,0.999,1
sebulan,0.001,0.999,1
menjadi,0.001,0.999,1
lagi..kos,0.999,0.001,1
aziz,0.999,0.001,1
tok,0.001,0.999,1
sauce,0.999,0.001,1
ghafar,0.001,0.999,1
jaya,0.001,0.999,1
photo,0.999,0.001,1
kpd,0.001,0.999,1
tayar,0.999,0.001,1
responsibility,0.999,0.001,1
kat,0.999,0.001,1
nsaya,0.999,0.001,1
or,0.001,0.999,1
sistem,0.001,0.999,1
cucu,0.001,0.999,1
parahnya,0.999,0.001,1
guys,0.001,0.999,1
pernah,0.999,0.001,1
turning,0.001,0.999,1
bagus,0.001,0.999,1
blog,0.001,0.999,1
baba,0.001,0.999,1
minds,0.999,0.001,1
adrianlimcheeen,0.001,0.999,1
pakatan,0.999,0.001,1
lari,0.001,0.999,1
replaced,0.999,0.001,1
bercakap,0.999,0.001,1
and,0.001,0.999,1
tau,0.001,0.999,1
suami,0.001,0.999,1
bantulah,0.001,0.999,1
14,0.999,0.001,1
20.001,0.001,0.999,1
secara,0.001,0.999,1
adalah,0.999,0.001,1
anda,0.999,0.001,1
jb,0.999,0.001,1
bloody,0.999,0.001,1
seor,0.999,0.001,1
jerawat,0.001,0.999,1
sarinahhh98,0.999,0.001,1
makan,0.001,0.999,1
reformasi,0.999,0.001,1
ajak,0.999,0.001,1
about,0.999,0.001,1
since,0.999,0.001,1
we,0.001,0.999,1
eng,0.999,0.001,1
twice,0.999,0.001,1
sambutan,0.001,0.999,1
than,0.999,0.001,1
always,0.999,0.001,1
lawan.oh,0.999,0.001,1
akibat,0.999,0.001,1
adnan,0.999,0.001,1
think,0.999,0.001,1
ummm,0.999,0.001,1
pm,0.001,0.999,1
inc,0.001,0.999,1
kewangan,0.999,0.001,1
yangsah,0.001,0.999,1
sweetcakceebo,0.001,0.999,1
pilih,0.001,0.999,1
npembangkang,0.001,0.999,1
arguably,0.999,0.001,1
memerintah..duit,0.999,0.001,1
anggota,0.001,0.999,1
meant,0.999,0.001,1
idk,0.999,0.001,1
rela,0.001,0.999,1
asal,0.999,0.001,1
ntun,0.001,0.999,1
malaysiakini,0.001,0.999,1
wud,0.999,0.001,1
walid_joe,0.001,0.999,1
jaiothman,0.999,0.001,1
medical,0.999,0.001,1
face,0.999,0.001,1
hutang,0.001,0.999,1
setia,0.001,0.999,1
skandal,0.999,0.001,1
lepastu,0.001,0.999,1
kongsi,0.001,0.999,1
nama,0.001,0.999,1
pru12,0.999,0.001,1
megaprojects,0.999,0.001,1
party,0.001,0.999,1
best,0.001,0.999,1
3,0.001,0.999,1
negara,0.999,0.001,1
bukan,0.999,0.001,1
violating,0.999,0.001,1
placate,0.999,0.001,1
kata,0.999,0.001,1
bila,0.999,0.001,1
but,0.001,0.999,1
undefeated,0.999,0.001,1
undurnajib,0.999,0.001,1
bawa,0.001,0.999,1
jasa,0.001,0.999,1
im,0.999,0.001,1
jdi,0.999,0.001,1
mohd,0.001,0.999,1
rm50.0010.001,0.999,0.001,1
only,0.999,0.001,1
opposition,0.001,0.999,1
ada,0.999,0.001,1
fake,0.999,0.001,1
aku,0.001,0.999,1
sebok,0.999,0.001,1
kpmg,0.999,0.001,1
hairstyle,0.001,0.999,1
bahan,0.001,0.999,1
believe,0.999,0.001,1
own,0.001,0.999,1
limlipeng,0.999,0.001,1
khairy,0.999,0.001,1
pembangunan,0.999,0.001,1
perkasa,0.001,0.999,1
kini,0.999,0.001,1
arrive,0.999,0.001,1
dulu,0.999,0.001,1
came,0.999,0.001,1
beli,0.999,0.001,1
average,0.999,0.001,1
truth,0.999,0.001,1
kau,0.999,0.001,1
try,0.999,0.001,1
sb,0.001,0.999,1
mainkan,0.999,0.001,1
fat,0.999,0.001,1
berlaku,0.999,0.001,1
is,0.999,0.001,1
election,0.999,0.001,1
https,0.999,0.001,1
available,0.001,0.999,1
beritahu..hmm,0.999,0.001,1
perubahan,0.001,0.999,1
benda,0.001,0.999,1
doakan,0.999,0.001,1
ke,0.001,0.999,1
corrupted,0.999,0.001,1
diketahui,0.999,0.001,1
stone,0.001,0.999,1
feldalktp,0.999,0.001,1
lakon,0.999,0.001,1
when,0.001,0.999,1
97b,0.999,0.001,1
kdn,0.999,0.001,1
kot,0.999,0.001,1
voters,0.001,0.999,1
remain,0.001,0.999,1
ssk,0.001,0.999,1
4,0.999,0.001,1
letaklah,0.999,0.001,1
panjan,0.001,0.999,1
proof,0.001,0.999,1
demokrasi,0.999,0.001,1
spices,0.999,0.001,1
gelomba,0.999,0.001,1
real,0.999,0.001,1
want,0.999,0.001,1
menipu,0.999,0.001,1
najib,0.999,0.001,1
jelas,0.999,0.001,1
's,0.999,0.001,1
sedih,0.999,0.001,1
pay,0.999,0.001,1
through,0.999,0.001,1
air,0.999,0.001,1
sekurang2nya,0.999,0.001,1
full,0.999,0.001,1
wastededucation,0.999,0.001,1
th,0.999,0.001,1
v,0.001,0.999,1
memuaskan,0.999,0.001,1
tebanglah,0.999,0.001,1
x,0.999,0.001,1
murid,0.001,0.999,1
retweeted,0.001,0.999,1
jangan,0.999,0.001,1
malaysian,0.999,0.001,1
pesawah,0.001,0.999,1
over,0.999,0.001,1
tahun.byr,0.001,0.999,1
masih,0.999,0.001,1
berat,0.999,0.001,1
nk,0.001,0.999,1
gt,0.001,0.999,1
should,0.999,0.001,1
selamat,0.001,0.999,1
orang,0.999,0.001,1
states,0.001,0.999,1
hari,0.001,0.999,1
berbeza,0.001,0.999,1
at,0.001,0.999,1
sarawak_report,0.999,0.001,1
lek,0.999,0.001,1
coward,0.999,0.001,1
kn,0.999,0.001,1
bapanya,0.999,0.001,1
bertu,0.001,0.999,1
jamaluddin,0.999,0.001,1
way,0.999,0.001,1
dah,0.001,0.999,1
australia,0.001,0.999,1
p.0.00185,0.001,0.999,1
yb,0.999,0.001,1
faisalmohd77,0.999,0.001,1
terlalu,0.999,0.001,1
prihatinnya,0.001,0.999,1
se,0.999,0.001,1
with,0.001,0.999,1
read,0.001,0.999,1
tukar,0.999,0.001,1
anwar,0.001,0.999,1
fight,0.999,0.001,1
do,0.999,0.001,1
kelantan,0.999,0.001,1
nak,0.001,0.999,1
kl,0.999,0.001,1
tanpa,0.999,0.001,1
ismailsabri60.001,0.001,0.999,1
thats,0.999,0.001,1
nik,0.999,0.001,1
dtg,0.001,0.999,1
i,0.999,0.001,1
education,0.001,0.999,1
besar,0.999,0.001,1
all,0.001,0.999,1
binaharapan,0.999,0.001,1
masalah,0.999,0.001,1
allocated,0.001,0.999,1
singgah,0.001,0.999,1
ucap,0.001,0.999,1
has,0.999,0.001,1
expect,0.001,0.999,1
ruling,0.001,0.999,1
blogger,0.999,0.001,1
jwp,0.999,0.001,1
kan,0.999,0.001,1
rm4b,0.999,0.001,1
wily,0.999,0.001,1
kasih,0.001,0.999,1
tentera,0.001,0.999,1
ndulu,0.001,0.999,1
sell,0.999,0.001,1
pun,0.999,0.001,1
sorang,0.999,0.001,1
pesara,0.001,0.999,1
dq,0.999,0.001,1
last,0.999,0.001,1
seri,0.001,0.999,1
kuantan,0.001,0.999,1
yg,0.999,0.001,1
worships,0.001,0.999,1
are,0.999,0.001,1
win,0.999,0.001,1
kawal,0.999,0.001,1
faridzamri,0.001,0.999,1
mengugat,0.999,0.001,1
attn,0.999,0.001,1
ribu,0.999,0.001,1
ha,0.999,0.001,1
ngan,0.999,0.001,1
one,0.001,0.999,1
16b,0.999,0.001,1
kikiki,0.999,0.001,1
ge14,0.999,0.001,1
much,0.999,0.001,1
em,0.999,0.001,1
rt,0.999,0.001,1
menteri,0.999,0.001,1
chairman,0.999,0.001,1
bela,0.001,0.999,1
yab,0.001,0.999,1
bro,0.001,0.999,1
me,0.001,0.999,1
so,0.999,0.001,1
mengejut,0.001,0.999,1
perdana,0.001,0.999,1
'm,0.999,0.001,1
cuma,0.999,0.001,1
ingat,0.999,0.001,1
tun,0.999,0.001,1
makpah,0.001,0.999,1
selvns,0.001,0.999,1
lah,0.999,0.001,1
kepentingan,0.001,0.999,1
kerje,0.001,0.999,1
atas,0.001,0.999,1
semasa,0.999,0.001,1
against,0.001,0.999,1
sekitar,0.001,0.999,1
personnel,0.001,0.999,1
knife,0.999,0.001,1
kwn2,0.999,0.001,1
kepada,0.001,0.999,1
support,0.001,0.999,1
fan,0.999,0.001,1
some,0.999,0.001,1
dap,0.001,0.999,1
parliamentary,0.999,0.001,1
barang,0.999,0.001,1
plus,0.999,0.001,1
sentimen,0.999,0.001,1
mpkotabelud,0.999,0.001,1
tipu,0.999,0.001,1
allah,0.001,0.999,1
angry,0.999,0.001,1
contributed,0.001,0.999,1
used,0.999,0.001,1
kekal,0.001,0.999,1
been,0.999,0.001,1
bett,0.999,0.001,1
ta,0.999,0.001,1
diri,0.999,0.001,1
baik,0.999,0.001,1
spr,0.999,0.001,1
iamharizshah,0.999,0.001,1
camouflaged,0.999,0.001,1
wait,0.999,0.001,1
terhormat,0.001,0.999,1
ibnuwaled,0.999,0.001,1
imam,0.001,0.999,1
carpark,0.001,0.999,1
de,0.999,0.001,1
maki,0.999,0.001,1
again,0.999,0.001,1
masa,0.001,0.999,1
sporting,0.001,0.999,1
highway,0.999,0.001,1
law,0.999,0.001,1
abislah,0.999,0.001,1
sebut,0.001,0.999,1
5,0.999,0.001,1
literally,0.999,0.001,1
suara,0.001,0.999,1
leads,0.999,0.001,1
unfortunately,0.999,0.001,1
razak,0.001,0.999,1
tpm,0.999,0.001,1
bitching,0.999,0.001,1
looks,0.999,0.001,1
isu,0.999,0.001,1
to,0.001,0.999,1
manapun,0.999,0.001,1
tiba..ya,0.001,0.999,1
ing,0.001,0.999,1
umnomalaysia,0.001,0.999,1
tolakpencuri,0.999,0.001,1
romba,0.999,0.001,1
mau,0.999,0.001,1
further,0.999,0.001,1
kuat,0.999,0.001,1
rosmah,0.999,0.001,1
appears,0.999,0.001,1
cara,0.999,0.001,1
had,0.999,0.001,1
baru,0.001,0.999,1
loyal,0.001,0.999,1
sprinkled,0.999,0.001,1
merupakan,0.999,0.001,1
boleh,0.999,0.001,1
bas,0.999,0.001,1
johor,0.999,0.001,1
mahathir,0.999,0.001,1
pasal,0.999,0.001,1
segala,0.001,0.999,1
caloný,0.999,0.001,1
la,0.999,0.001,1
now,0.999,0.001,1
sejak,0.999,0.001,1
fund,0.999,0.001,1
use,0.999,0.001,1
te,0.001,0.999,1
ibrahim,0.001,0.999,1
serious,0.999,0.001,1
